1 "no simd" 2.059999123988948e-6 2.0579647079507217e-6 2.063466392217145e-6 4.1953632120114217e-8 2.9761923751414366e-8 7.106309416437455e-8
2 "simd4" 6.203018339678037e-7 6.197011560780567e-7 6.21410862958009e-7 1.2765647294601388e-8 8.554696131460316e-9 2.3453646321918672e-8
3 "simd8" 6.102183608597271e-7 6.095681373424682e-7 6.113083166569856e-7 1.3214564531290669e-8 9.433935160984615e-9 2.2818168152181986e-8
4 "simd16" 4.265800601172324e-7 4.260329764999276e-7 4.2760488955340664e-7 1.1690191308661174e-8 7.298434789586552e-9 1.9994221291503994e-8
5 "no simd" 2.0408235915773086e-6 2.039982153305102e-6 2.0425509640682363e-6 1.860914869915186e-8 9.452973578966602e-9 3.204630504970884e-8
6 "simd4" 1.108442615479865e-6 1.108151295513911e-6 1.1089752527310514e-6 6.16403717119488e-9 4.114761046591028e-9 1.1771103948953156e-8
7 "simd8" 7.913092011458258e-7 7.90878349379318e-7 7.921846219121594e-7 9.50109167379926e-9 5.499772092696548e-9 1.6276849502406478e-8
