1 "no simd" 2.0197765591527426e-5 2.019291883575501e-5 2.020401999671891e-5 8.817328976017032e-8 7.320557014031604e-8 1.3598486671276788e-7
2 "simd4" 6.136274079495448e-6 6.121430059944523e-6 6.159986876108657e-6 2.979344946373019e-7 2.1141567253833938e-7 4.285643185658913e-7
3 "simd8" 5.396288004493025e-6 5.394416860162963e-6 5.398642167203711e-6 3.352598319681831e-8 2.7051350019617003e-8 4.669390428703692e-8
4 "simd16" 5.939245799033868e-6 5.925542611014385e-6 5.955462538979213e-6 2.4097031648558403e-7 2.122707256620262e-7 2.720924358803089e-7
5 "no simd" 2.0480545156025964e-5 2.047620726243399e-5 2.0485164515996093e-5 7.257709575350487e-8 6.910747860009068e-8 7.782901406194504e-8
6 "simd4" 1.2781876144921713e-5 1.2778529991994141e-5 1.2785651451291666e-5 5.719224084636382e-8 5.115250292229038e-8 7.100336058158505e-8
7 "simd8" 1.302345497116127e-5 1.3020449642229953e-5 1.3026573235208979e-5 4.940959954470169e-8 4.7042446393093004e-8 5.271238242649113e-8
